pid,seq_no,trial_id,seq,uid,block,pos,multi,realized,win,earn,side,stake,screen_ms,btn_order
4bwhtil0,1,5,HHHOHH,6df90160-e0cd-4717-9f77-848acd24d707,1,1,2.5,H,0,90,O,10,16754,OH
98r4dh1u,1,13,HHOOHH,2d64b9af-d73c-4425-8be9-ce96b810ac7b,1,1,2.5,O,1,135,O,14,13352,OH
gih6nd5f,1,64,OOOOOO,397a9e1b-6f91-479c-b5e1-3fe00e6fc885,1,1,1.9,H,1,105.4,H,6,11254,OH
iiw1neqh,1,63,OOOOOH,65d22eba-cf92-44df-bbac-5464f10136e7,1,1,1.9,O,1,105.7,O,3,27119,HO
kuln1ae8,1,46,OHOOHO,ea762db9-0521-4031-836e-86703bc478cc,1,1,2.5,H,0,90,O,10,47220,OH
l03efj31,1,50,OOHHHO,f49826b0-2bf5-4568-84ea-80b6652535a8,1,1,2.5,O,0,74,H,26,10892,HO
l7mooatv,1,39,OHHOOH,720a6ee7-e7e3-4434-9f85-eaa82fd39cfd,1,1,2.5,H,1,115,H,10,22795,OH
oyd53vb3,1,14,HHOOHO,e253101b-2ba3-45b1-bea2-4151705b8894,1,1,2.5,H,1,122.5,H,9,10583,OH
s3l5cnfu,1,27,HOOHOH,c011cc8c-6f70-42ed-947f-9af8c778352f,1,1,1.9,O,1,105.7,O,3,11815,OH
y2byltnd,1,35,OHHHOH,dc3346d9-3232-47e8-9f48-9b03ec745acf,1,1,2.5,H,0,100,NB,0,10145,OH
4bwhtil0,2,28,HOOHOO,8dd93840-327c-402c-a264-36037005d1d4,1,2,2.5,O,1,124,O,16,9960,HO
98r4dh1u,2,11,HHOHOH,6ebe3378-a741-4331-8075-5966ae701744,1,2,2.5,H,1,125,H,10,18170,HO
gih6nd5f,2,62,OOOOHO,6f99b454-81cc-455e-a6de-7be49bc52e7c,1,2,1.9,H,0,88,O,12,12156,HO
iiw1neqh,2,44,OHOHOO,4fec93cf-73a4-4b2f-9b51-176cf4c9f3b4,1,2,1.9,O,1,138,O,20,19205,HO
kuln1ae8,2,39,OHHOOH,8dfa03c8-fe14-44a3-8c3f-0c424b052f9d,1,2,2.5,H,0,50,O,50,22935,OH
l03efj31,2,43,OHOHOH,af50829d-318d-4f33-a72d-acc7aea02d2c,1,2,2.5,O,0,60,H,40,13502,OH
l7mooatv,2,15,HHOOOH,f3467f02-5985-498b-998e-889b9aa3c231,1,2,2.5,O,0,85,H,15,8445,OH
oyd53vb3,2,58,OOOHHO,4794c56d-055a-4c13-952c-fb275e994f38,1,2,2.5,O,1,135,O,14,8458,HO
s3l5cnfu,2,45,OHOOHH,fd551da1-0948-4227-854e-578ba7f1c344,1,2,1.9,H,1,109.5,H,5,26488,OH
y2byltnd,2,14,HHOOHO,02deb954-aaef-4e83-9f84-c6700131ff3c,1,2,2.5,O,1,115,O,10,10890,OH
4bwhtil0,3,6,HHHOHO,8c9bc3d5-0029-4e8c-8c2e-033dff1dc5e6,1,3,2.5,H,0,88,O,12,20617,HO
98r4dh1u,3,63,OOOOOH,d3336b1f-585f-4d5a-9961-c26179799ff4,1,3,2.5,H,0,84,O,16,17366,OH
gih6nd5f,3,26,HOOHHO,89053615-0ba5-42ce-a8cb-5316bb97002b,1,3,1.9,O,1,123.4,O,26,19298,OH
iiw1neqh,3,26,HOOHHO,096d68bc-8639-4dcd-a108-7fc0a51215ac,1,3,1.9,O,0,100,NB,0,42921,OH
kuln1ae8,3,25,HOOHHH,253f1f72-0bf7-4f22-a10a-1185f10b2378,1,3,2.5,H,0,40,O,60,13320,OH
l03efj31,3,34,OHHHHO,1016f193-24cf-47a7-bbca-7f991aff51ab,1,3,2.5,H,1,175,H,30,17464,HO
l7mooatv,3,49,OOHHHH,45dd8199-03bf-4e2c-acc4-9c79d2ce6b31,1,3,2.5,O,1,130,O,20,16748,HO
oyd53vb3,3,6,HHHOHO,751c6a55-2695-49b3-bcaa-26a8947a951c,1,3,2.5,O,1,112.5,O,5,14921,HO
s3l5cnfu,3,51,OOHHOH,acd06260-4329-48dd-9ae2-1b1515c1467c,1,3,1.9,H,1,122.8,H,12,28821,HO
y2byltnd,3,59,OOOHOH,df5542c4-cb76-4f7a-9f37-221d90091e5e,1,3,2.5,O,1,115,O,10,14397,OH
4bwhtil0,4,64,OOOOOO,edc4a178-53d3-48d1-9fa5-88bdde6af067,1,4,2.5,H,1,122.5,H,15,12002,HO
98r4dh1u,4,49,OOHHHH,3c4b598a-9d7b-4926-81e5-97e0db7fa243,1,4,2.5,H,0,79,O,21,14927,HO
gih6nd5f,4,20,HOHHOO,137d5e0a-119b-41ae-a7be-3198f96983a1,1,4,1.9,O,0,54,H,46,8565,OH
iiw1neqh,4,43,OHOHOH,f56bd604-b747-4b6d-9a4e-83af2a02d3cb,1,4,1.9,O,0,100,NB,0,18111,HO
kuln1ae8,4,50,OOHHHO,87662d7c-ab53-4a20-a343-e2254e0f3208,1,4,2.5,O,0,25,H,75,11491,OH
l03efj31,4,21,HOHOHH,e243fabb-721c-4391-9e48-f6e0d684442d,1,4,2.5,H,0,70,O,30,8315,OH
l7mooatv,4,41,OHOHHH,d3542b80-916f-4a46-a4e3-b6aee197eec4,1,4,2.5,O,1,107.5,O,5,13771,OH
oyd53vb3,4,31,HOOOOH,6a35e823-d1a4-46e0-93b9-670e9e8a9b78,1,4,2.5,H,1,137.5,H,15,8489,OH
s3l5cnfu,4,46,OHOOHO,5fda81e0-52d4-4c81-bb9c-2c52febeace5,1,4,1.9,O,0,90,H,10,18251,OH
y2byltnd,4,17,HOHHHH,48081840-505e-43c0-a3e5-3ebc0ffd04bf,1,4,2.5,H,1,115,H,10,9465,OH
4bwhtil0,5,34,OHHHHO,b57fd1fe-eca2-4161-9089-6bece0a77d80,1,5,2.5,O,1,122.5,O,15,10871,OH
98r4dh1u,5,30,HOOOHO,9807d65d-7281-49a6-a312-9afd39dae9b4,1,5,2.5,O,1,150,O,20,14865,OH
gih6nd5f,5,19,HOHHOH,362e657b-bc90-4763-a0fc-8cb6d27b67d7,1,5,1.9,H,0,54,O,46,5543,OH
iiw1neqh,5,17,HOHHHH,4c3aefa3-d484-450e-817b-373501b3d32a,1,5,1.9,O,0,0,H,100,7945,OH
kuln1ae8,5,38,OHHOHO,d39a4137-f3fe-47d3-87c8-4ed814292674,1,5,2.5,H,0,85,O,15,15810,OH
l03efj31,5,26,HOOHHO,ed5e5256-f7ef-454d-95bf-1575811171bd,1,5,2.5,H,1,150,H,20,10803,OH
l7mooatv,5,4,HHHHOO,b16a7421-8235-44a0-b583-4689d4dfac2c,1,5,2.5,H,1,107.5,H,5,8063,HO
oyd53vb3,5,55,OOHOOH,ae77307f-39dc-4490-91a9-9e911c2d6dc8,1,5,2.5,H,0,100,NB,0,11160,HO
s3l5cnfu,5,57,OOOHHH,fdbd1e2b-3463-4a93-9a7e-34b6a72f4396,1,5,1.9,O,1,126.6,O,14,10262,HO
y2byltnd,5,46,OHOOHO,c79be721-0519-45e3-a04a-08acc59f6092,1,5,2.5,H,0,100,NB,0,2859,OH
4bwhtil0,6,56,OOHOOO,0a75b831-c466-4363-8203-418c26dd770c,1,6,2.5,O,0,85,H,15,7456,HO
98r4dh1u,6,43,OHOHOH,ccc5036b-48d9-41cf-a0be-626589ade7d2,1,6,2.5,H,0,43,O,57,8881,OH
gih6nd5f,6,28,HOOHOO,566d0f03-d757-4338-842b-ccc556751615,1,6,1.9,H,0,56,O,44,7080,HO
iiw1neqh,6,54,OOHOHO,6df28cf2-ca59-47c0-8f2a-8c4d083be9fa,1,6,1.9,H,0,100,NB,0,6263,OH
kuln1ae8,6,54,OOHOHO,296e3c9a-b3ae-4435-b772-10fc4be553ec,1,6,2.5,O,0,70,H,30,18099,HO
l03efj31,6,8,HHHOOO,6e719e0f-6cca-4510-8e7f-6fc04679ae8d,1,6,2.5,O,0,65,H,35,8406,OH
l7mooatv,6,27,HOOHOH,4cb8e6da-7235-4f7c-8aff-65eecef2393e,1,6,2.5,O,1,107.5,O,5,6540,HO
oyd53vb3,6,9,HHOHHH,f0fa4ba3-2c84-48a0-bac2-0c2df3b6715d,1,6,2.5,H,0,57,O,43,7224,HO
s3l5cnfu,6,7,HHHOOH,3b062f99-24c9-44bb-a821-b16c03682d9c,1,6,1.9,O,0,85,H,15,15196,OH
y2byltnd,6,56,OOHOOO,f0638a5f-cfd1-4bda-81e3-eb85edb188f5,1,6,2.5,H,1,122.5,H,15,8209,OH
4bwhtil0,7,15,HHOOOH,4fcaf212-917c-429c-91d3-3fbf93b72ee3,1,7,2.5,H,0,100,NB,0,5054,OH
98r4dh1u,7,33,OHHHHH,e09a1cb7-f13f-4656-935b-ab0d9ffcceb1,1,7,2.5,H,1,205,H,42,6390,OH
gih6nd5f,7,14,HHOOHO,a9f56002-62e2-43b6-9ed4-4e61440c279f,1,7,1.9,O,0,57,H,43,7082,HO
iiw1neqh,7,52,OOHHOO,bd0042b3-307e-43ae-bc3f-70a19d74b661,1,7,1.9,H,0,0,O,100,10651,HO
kuln1ae8,7,21,HOHOHH,62cf5c57-0761-4920-9c6d-3c1e30682aca,1,7,2.5,H,1,225,H,50,12200,OH
l03efj31,7,15,HHOOOH,9cfe66e5-38bf-49a8-9a99-ce46a295d1e1,1,7,2.5,O,1,250,O,60,6869,HO
l7mooatv,7,31,HOOOOH,99537f5a-dd71-4c8c-be58-59e4451d537f,1,7,2.5,H,0,100,NB,0,3432,OH
oyd53vb3,7,3,HHHHOH,50555ea3-f4b8-4bd7-af74-8386adfe4f9f,1,7,2.5,O,0,80,H,20,4391,HO
s3l5cnfu,7,26,HOOHHO,f3b232e1-7d5f-4ad6-9ffc-644cdf0092e9,1,7,1.9,O,0,74,H,26,9562,HO
y2byltnd,7,64,OOOOOO,1971b849-dde4-412e-96c8-35150f0c52ff,1,7,2.5,O,0,95,H,5,4801,HO
4bwhtil0,8,18,HOHHHO,c1f5d359-13fa-44f1-a377-7265675a76a6,1,8,2.5,H,1,125.5,H,17,4692,HO
98r4dh1u,8,28,HOOHOO,0025577e-308e-4add-905c-27e4fab91781,1,8,2.5,H,1,145,H,18,11612,OH
gih6nd5f,8,6,HHHOHO,d8b13a95-45eb-4d99-a57e-08cda1a72d73,1,8,1.9,H,1,139.6,H,44,7907,OH
iiw1neqh,8,24,HOHOOO,0297ab12-68b0-470b-9416-847a5047d1ee,1,8,1.9,H,0,50,O,50,6308,OH
kuln1ae8,8,47,OHOOOH,b6b92a82-390e-4b11-8666-6b3c46fb5680,1,8,2.5,O,0,35,H,65,9853,OH
l03efj31,8,9,HHOHHH,184066d9-2e5d-451c-bc8a-96593add035e,1,8,2.5,H,0,60,O,40,51289,OH
l7mooatv,8,55,OOHOOH,da494b34-91a1-4ee9-a49d-5a5dabce767f,1,8,2.5,H,0,100,NB,0,2015,HO
oyd53vb3,8,60,OOOHOO,73a9db20-d597-4167-a1ab-debac666243b,1,8,2.5,H,0,79,O,21,13721,HO
s3l5cnfu,8,13,HHOOHH,4432ef28-9e9f-4123-8169-6b95182a0c46,1,8,1.9,O,0,82,H,18,4114,OH
y2byltnd,8,27,HOOHOH,6b6725d1-9ad4-4b4b-a9eb-6a42f4eba18a,1,8,2.5,O,0,95,H,5,12437,HO
4bwhtil0,9,14,HHOOHO,64bed22a-aaf2-4955-a4c7-9c31ad1c4fa2,1,9,2.5,H,0,88,O,12,7775,HO
98r4dh1u,9,61,OOOOHH,c439b754-04cd-44eb-9ca1-ff296f239c19,1,9,2.5,O,0,72,H,28,5582,HO
gih6nd5f,9,29,HOOOHH,04556b03-bca7-4b69-83e7-927429ca90de,1,9,1.9,H,0,49,O,51,14947,OH
iiw1neqh,9,31,HOOOOH,71eb703b-3359-4904-9496-dfb39f3fe5f9,1,9,1.9,O,1,214,O,60,6777,OH
kuln1ae8,9,57,OOOHHH,c805e110-eafa-458a-85d4-6217a7f95523,1,9,2.5,O,0,35,H,65,12480,OH
l03efj31,9,24,HOHOOO,12d5f8d2-b0cc-441a-a5c2-f767fe9f2e83,1,9,2.5,H,0,100,NB,0,6610,OH
l7mooatv,9,14,HHOOHO,0076e86a-c4e3-4209-8145-5c61a2e04464,1,9,2.5,H,0,100,NB,0,1419,HO
oyd53vb3,9,35,OHHHOH,7f9fcc3f-6d45-40fc-ac50-905c8789ea14,1,9,2.5,H,0,18,O,82,16807,HO
s3l5cnfu,9,48,OHOOOO,bc99bd73-ad67-47bd-9d60-fa4e09782b2a,1,9,1.9,H,0,62,O,38,3872,OH
y2byltnd,9,60,OOOHOO,4d170180-1075-47bc-b9d1-a545402b25fc,1,9,2.5,H,0,100,NB,0,16731,HO
4bwhtil0,10,58,OOOHHO,c0e9b099-2216-4b39-afff-ac81488c7f9e,1,10,2.5,O,1,125.5,O,17,11998,HO
98r4dh1u,10,19,HOHHOH,e7be6bb0-558c-401d-9e4d-d2827cd0c83c,1,10,2.5,H,0,62,O,38,10821,HO
gih6nd5f,10,13,HHOOHH,99e8416f-dd28-4c7d-a983-5f51420c8213,1,10,1.9,H,0,44,O,56,6216,OH
iiw1neqh,10,7,HHHOOH,cd388693-50aa-47a0-8acd-d416aea477d6,1,10,1.9,O,0,0,H,100,9619,HO
kuln1ae8,10,2,HHHHHO,d04aa672-60e6-4f66-affb-b519c47adbb3,1,10,2.5,O,0,70,H,30,11364,OH
l03efj31,10,14,HHOOHO,fecfd743-c33f-482b-bf59-afdd959910cf,1,10,2.5,O,0,55,H,45,31362,HO
l7mooatv,10,61,OOOOHH,369d94c2-fde7-48b8-838f-2c1b7b0b2cc1,1,10,2.5,O,1,115,O,10,12740,HO
oyd53vb3,10,42,OHOHHO,69a7333e-1d11-44ab-8cb2-49f22e3aa355,1,10,2.5,O,0,100,NB,0,5791,HO
s3l5cnfu,10,44,OHOHOO,88f7a54d-5981-44e5-844d-dc6b3cad3c8e,1,10,1.9,O,0,91,H,9,8903,HO
y2byltnd,10,52,OOHHOO,440364ab-2ef6-4327-9248-015a64effd2d,1,10,2.5,O,0,95,H,5,12653,HO
4bwhtil0,11,46,OHOOHO,459f550e-4814-4b9d-9d8f-c0290f01f4aa,1,11,2.5,H,0,81,O,19,11852,HO
98r4dh1u,11,40,OHHOOO,c2ff52f7-2433-4292-979a-5999ee9c7595,1,11,2.5,H,1,187.5,H,35,10576,OH
gih6nd5f,11,33,OHHHHH,ef37c44e-3abd-4522-b970-9c70e23c7f4b,1,11,1.9,O,0,58,H,42,7737,OH
